specName,End,Start
Siliquariidae,0,0
Vermetidae,0,0
Cassidae,0,0
Tonnidae,0,0
Ficidae,0,0
Harpidae,0,0
Epitonidae,0,0
Conidae,0,0
Olividae,0,0
Marginellidae,0,0
Columbella_genus,0,0
Cypraeidae,0,0
Triviidae,0,0
Cystiscidae,0,0
Ovulidae,0,0
Bullidae,0,0
Cylichnidae,0,0
Eulimidae,0,0
Turritellidae,0,0
Pyramidellidae,0,0
Triphoridae,0,0
Cerithiidae,0,0
Terebridae,0,0
Cerithiopsidae,0,0
Mitridae,0,0
Costellariidae,0,0
Turridae,0,0
Xenophoridae,0,0
Trochidae,0,0
Architectonicidae,0,0
Turbinidae,0,0
Modulidae,0,0
Umbraculidae,0,0
Velutinidae,0,0
Calyptraeidae_Crepidula,0,0
Calyptraeidae_Calyptraea,0,0
Calyptraeidae_Crucibulum,0,0
Hipponicidae,0,0
Fissurellidae,0,0
Cocculinidae,0,0
Naticidae,0,0
Littorinidae,0,0
Neritidae,0,0
Cancellariidae,0,0
Buccinidae,0,0
Muricidae,0,0
Coralliophilinae,0,0
Columbellidae_nonColumbella,0,0
Nassariidae,0,0
Bursidae,0,0
Ranellidae,0,0
Personidae,0,0
Fasciolariidae,0,0
Melongenidae,0,0